품목명,HS코드
아가리쿠스(Agaricus)속의 버섯,711510000
송로(松露),711591000
죽순,711903000
그 밖의 채소,7119050
목이버섯[오리쿨라리아(Auricularia)속],712320000
젤리균류[트레멜라(Tremella)속],712330000
버섯,7123910
호박,712902050
토란줄기,712902070
고구마줄기,712902080
스위트콘(종자용),712902091
스위트콘(기타),712902092
병아리콩[가반조스(garbanzos)],713200000
밤바라콩[비그나 서브터라니아(Vigna subterranea)ㆍ보안드제이아 서브터라니아(Voandzeia subterranea)],713340000
동부콩[비그나 운구이쿨라타(Vigna unguiculata)],713350000
렌즈콩,713400000
누에콩[비시아 파바 변종 메이저(Vicia faba var. major)]과 말먹이용 누에콩[비시아 파바 변종 에퀴나(Vicia faba var. equina)ㆍ비시아 파바 변종 마이너(Vicia faba var. minor)],713500000
비둘기콩[카자누스 카잔(Cajanus cajan)],713600000
신선한 것,714101000
칩,714102010
펠릿(pellet),714102020
냉장한 것,714103000
칡뿌리,7149010
말린 것,801110000
내피[내과피(內果皮)]를 벗기지 않은 것,801120000
껍데기를 벗기지 않은 것,801210000
껍데기를 벗긴 것,801220000
콜라 너트(kola nut)[콜라(Cola)속],802700000
빈랑자(areca nut),802800000
잣(껍데기를 벗기지 않은 것),802910000
잣(껍데기를 벗긴 것),802920000
은행,8029910
플랜틴(plantain),803100000
대추야자,804100000
무화과,804200000
파인애플,804300000
아보카도(avocado),804400000
구아바(guava),804501000
망고(mango),804502000
망고스틴(mangosteen),804503000
오렌지,805100000
감귤,805211000
클레멘타인(clementine),805220000
그레이프프루트(grapefruit)와 포멜로(pomelo),805400000
레몬[시트러스 리몬(Citrus limon)ㆍ시트러스 리머늄(Citrus limonum)],805501000
라임(lime)[시트러스 오란티폴리아(Citrus aurantifolia)ㆍ시트러스 라티폴리아(Citrus latifolia)],8055020
시트러스 오란티폴리아(Citrus aurantifolia),805502010
시트러스 라티폴리아(Citrus latifolia),805502020
수박,807110000
참외,807191000
포포(papaw)[파파야(papaya)],807200000
사과,808100000
배,808300000
마르멜로(quince),808400000
살구,809100000
신 체리[프루너스 체라서스(Prunus cerasus)],809210000
복숭아[넥터린(nectarine)을 포함한다],809300000
자두,809401000
슬로(sloe),809402000
초본류 딸기,810100000
나무딸기ㆍ검은나무딸기ㆍ오디ㆍ로간베리(loganberry),810200000
흑색ㆍ백색ㆍ적색의 커런트(currant)와 구즈베리(gooseberry),810300000
크랜베리(cranberry)ㆍ빌베리(bilberry)와 그 밖의 박시니엄(Vaccinium)속의 과실,810400000
키위프루트(kiwifruit),810500000
두리안(durian),810600000
단감,810701000
대추,810903000
매실,810905000
"나무딸기, 검은나무딸기, 오디, 로간베리(loganberry), 흑색ㆍ백색ㆍ적색의 커런트(currant), 구즈베리(gooseberry)",811200000
밤,811901000
잣,811903000
체리,812100000
프룬(prune),813200000
감,813401000
이 류의 견과류나 건조한 과실의 혼합물,813500000
